condo_id,creation_date,first_creator,second_creator,deleted
5a60b3f8a87c70eb1e0ef6c4f8648018,2019-04-09 00:20:28,9ea9feb4e0ba58cf6db112aa19983d84,5bf957f38583710dbb0949c1,False
5a60b3f8a87c70eb1e0ef6c4f8648018,2019-04-09 13:54:27,7c57764175053d58a10133c403867865,55d3a22ce4b0ce8c0d947c85,False
88b21ffce5dfedcdd2153174c926a023,2019-04-09 16:20:41,0dc278fb4dc9b85c10d069030b2e0d18,56df2ed47cf0bf04470ff425,False
b13ae41b79573d821bb779c108abc2e6,2019-04-09 22:34:03,5832bd6a02b4882f33107ff721fa28e1,56f3f55378521f0445aefafe,False
88b21ffce5dfedcdd2153174c926a023,2019-04-10 09:10:09,3c891758c420c58104041b4c83520e3b,56df2ed57cf0bf04470ff438,False
5480bb01f72bc35c2b3784a3903c6765,2019-04-10 14:09:14,041b5d640c406754e528fed34aa980a3,5aff399d78a4100c122ff93d,False
b13ae41b79573d821bb779c108abc2e6,2019-04-10 21:52:28,68f2528c8ebbd6353156c1cd88c87935,5a50c1e6e294170c27f541b2,False
0eeed7c66261c418ab629f1d2501283b,2019-04-11 02:48:33,71bffde2e083544893481566eb873c0d,53f33c6ce4b0fdfcc5083686,False
4edd506d8aa8bebcf364fd99f192d926,2019-04-11 12:03:01,953f0fdca916c6ae8304165bbc70ed37,5a89aabce6bf680c71c8a042,False
afadcabd609c7b455a3b2c1334559804,2019-04-11 13:13:39,d5c6c5cacae514150ad869512ef91fac,557ecee0e4b06b4f36c382bc,False
681d22d072f5e04c84a57cd7d075e083,2019-04-11 15:52:59,a509489ec6e856aae1a9378a0b537169,567159f6b4934b0445e336db,False
b13ae41b79573d821bb779c108abc2e6,2019-04-11 18:06:44,1c6e0b7d6be70eac68adac474c8e4e2e,5c1023fc3695000d68568342,False
f7a3819707dac65f05306cbb141f949e,2019-04-11 18:26:31,fd0e12674bce92c092511ca55d330c89,5c9a96651b27e10d3928c5d4,False
4edd506d8aa8bebcf364fd99f192d926,2019-04-12 00:40:06,fdbba5a46cd555deb699d882b99dfa67,5c6553bca362361efdba2e90,True
b13ae41b79573d821bb779c108abc2e6,2019-04-12 11:01:23,ddafa9bd069848b04dcb31e16cb889e0,56daeea427683d03d8fa867a,False
13a1bab69d1b5e8972d4573166e16da7,2019-04-12 15:49:30,2ac6a6b0f5177c24749b3b8072a43c4a,586d2a76cdee24042cd3c8b2,False
d30ff6388978d591a8b25be230954e9c,2019-04-12 20:32:41,0828c146242d53ed4ed14bdbb622736b,55929698e4b00b78a5486f98,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-13 03:42:41,32383ec36dca043a75aa25198440c971,593161fafeabe10c6e60c3aa,False
0eeed7c66261c418ab629f1d2501283b,2019-04-13 16:17:15,975e4f41e62d0d43eb04a537d41df93d,5beea7de5ee6f10dd93b15df,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-13 20:44:05,1e725af60c23906886db941fb4aebff3,5bc8b4e40290bc0ce030b53c,False
b13ae41b79573d821bb779c108abc2e6,2019-04-14 01:01:49,13098fb71a401544d54618cb8a861e76,5723ad7b562e920425f0aa01,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-14 16:35:34,82f183652f1496078f80fffd86699b34,5980f4c68a4bbe0c6cabfbe3,False
5480bb01f72bc35c2b3784a3903c6765,2019-04-14 20:06:37,132bd1cf14f73ee3abe83b1a622fd9cb,5ae364773445010c8a01e8f9,False
34bbe34a16e67bd6dcbe666a7b16ea9c,2019-04-14 21:20:55,7fc38cff9b2fa78f41c1b9505d9c3dd9,580deaa9deb85a04296c1434,False
5a60b3f8a87c70eb1e0ef6c4f8648018,2019-04-14 23:10:37,60c79706a6c487251cdb1785b4eac264,55d3a238e4b0ce8c0d947d63,False
afadcabd609c7b455a3b2c1334559804,2019-04-15 11:21:06,8bde0c5e25dfbaee44f418d1d4cdb63c,5aec4b3c53b9760c9bc47245,False
0eeed7c66261c418ab629f1d2501283b,2019-04-15 12:30:47,326908dde839855771143762ff22e0ae,53df90c9e4b0fdfcc505fd3a,False
ca77cae2abed6abb30dcc578a93f5d07,2019-04-15 14:22:35,10f91d565b36be48ae05f381ab59efef,5745dcebe59407038af27f98,False
88b21ffce5dfedcdd2153174c926a023,2019-04-16 01:51:23,c56b023f7a397dc6788c6af318c97d28,56e06eae7cf0bf0447151b60,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-16 09:52:40,358507e1db383ce291f64cc89161c569,5925ea8efeabe10c6e0ea6c3,False
681d22d072f5e04c84a57cd7d075e083,2019-04-16 14:41:55,542199e798bc94124eff76d41dbde5c6,568126696413680438eae865,False
5480bb01f72bc35c2b3784a3903c6765,2019-04-16 15:06:39,b4024756a0b869ff8bfb596893c1a37b,5b05781e78a4100c12321793,False
5480bb01f72bc35c2b3784a3903c6765,2019-04-16 18:17:22,9d4916c15df791e294992b68203fa5ef,5b0b0a83daa7550c12af65da,False
651a1efe4fbbbee830bc01b5539f724b,2019-04-17 15:23:18,fc9276cf43dc5cb7a78c7c3cf00e8d0c,59791cdf3060f30c92e757b7,False
681d22d072f5e04c84a57cd7d075e083,2019-04-17 18:24:49,356fd4114ebe95645d50a9226db2cbfb,568126746413680438eae962,False
0d467468c1f5396431052ec65da6e0fc,2019-04-17 21:20:27,899af40abcdd0e387156c8881f319a10,5a8c688d67ff7f0c9a638b1a,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-18 00:45:09,fdd220e25578272ab2954e46812d3189,5a50c914e294170c27f589ad,False
ee57e2e31b5fcb20d50a93e1d669aafe,2019-04-18 10:44:04,7779338e8f02aacde7f3ca6dfae903b8,5c7a903d7ea1d90d246919f9,False
b13ae41b79573d821bb779c108abc2e6,2019-04-18 23:23:29,d4d45a9d7da451ddd0bbbc801878e780,5b893d71cd85eb0ce5dfe16c,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-19 03:33:00,5254307cc47b2d22a5b1872f0806a5d3,59a58c209a8c830c918d76ac,False
88b21ffce5dfedcdd2153174c926a023,2019-04-19 16:17:46,90916cd81ccf8309a445d82d58af21ac,5c1245fb3695000d68576f68,False
88b21ffce5dfedcdd2153174c926a023,2019-04-19 21:29:02,79889d3eb2f5140ba600785e36d6ac46,5b92f9713228160cbe511fe1,False
b13ae41b79573d821bb779c108abc2e6,2019-04-20 01:04:38,68f2528c8ebbd6353156c1cd88c87935,5a50c1e6e294170c27f541b2,False
681d22d072f5e04c84a57cd7d075e083,2019-04-21 10:47:26,a509489ec6e856aae1a9378a0b537169,567159f6b4934b0445e336db,False
11d62d3b1245d2cec06154e2a5d9a28c,2019-04-21 18:55:28,f8d8a6ab9834aa0a3b7e91c85f9ddf97,5babc24455bd550caa648bcb,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-21 20:19:25,42551dc8d5d9464a71c73b59d14718ab,592716ad886b4b0c785eeb5d,False
b13ae41b79573d821bb779c108abc2e6,2019-04-21 22:28:07,52fa8de3466af767589515bea28b3cc1,56daeedc27683d03d8fa8a7e,False
88b21ffce5dfedcdd2153174c926a023,2019-04-22 02:29:08,058ed152092eea8a527830dbee511980,5947cac9f169610c81c0476a,False
11d62d3b1245d2cec06154e2a5d9a28c,2019-04-22 12:42:01,1f7a0eb5dc7886b3ab65be396ee9e19f,5bd0bfe4c974e00db8fc2bec,False
3a3e22b7162693e31a93656b2b053141,2019-04-22 13:59:57,2186e84ec36b02fdbafc0820316290f9,5b32e8f3352a800c78f38f91,False
681d22d072f5e04c84a57cd7d075e083,2019-04-22 19:13:03,53892bf04c509e93a552cba3bc35bc9c,567159f6b4934b0445e336c7,False
11d62d3b1245d2cec06154e2a5d9a28c,2019-04-22 22:17:35,2275e6f700f547f891ca3407ac85a3a8,57e4337a070dfe041f05e80d,False
f7a3819707dac65f05306cbb141f949e,2019-04-22 22:54:35,e91f749098b134e4a79f46ab6ea73e4e,568fe9e4cacd64043ffe86e5,False
3ff19c00fb0de207aea1242d4b3d4cec,2019-04-23 16:59:34,1f0cbb999371e5e707a1feea492a2dc6,5c1b8df67128850d8314e68a,False
b13ae41b79573d821bb779c108abc2e6,2019-04-24 00:49:38,5308787b8c6d69b5e9e96737d0ca9ef0,5c1101a53695000d6856d335,False
afadcabd609c7b455a3b2c1334559804,2019-04-24 15:20:31,cc05b4ab3524537639d6051fab5a8389,59aeefb8bd19210c048aa3f1,False
5a60b3f8a87c70eb1e0ef6c4f8648018,2019-04-24 18:56:36,d389a32afbc64bc4ab9ab2e63406256d,5c82c31a10198f0da262ae0f,False
ca77cae2abed6abb30dcc578a93f5d07,2019-04-24 19:50:03,575bf14163cb8b3e021c7d19b4400587,5a16cf916647de0c71b74137,False
b13ae41b79573d821bb779c108abc2e6,2019-04-24 22:58:29,52fa8de3466af767589515bea28b3cc1,56daeedc27683d03d8fa8a7e,False
b13ae41b79573d821bb779c108abc2e6,2019-04-25 00:16:09,33d27801f602649edfee3a04b5dc7915,56daeea327683d03d8fa8664,False
860173ec3479cc1e45fb5a7cd307b0c7,2019-04-25 11:55:59,cb61f60a2a5982d0c372b3532f4977d1,53bb2e0de4b06dc2c3f04f77,False
860173ec3479cc1e45fb5a7cd307b0c7,2019-04-25 20:05:01,de84d023569f018ceee90a261a169afd,5c6c58fca362361efdbe218a,False
11d62d3b1245d2cec06154e2a5d9a28c,2019-04-25 21:46:08,8d7ee2a0ed831688c11fa2a3523106d9,57e94d62faf48e041d96c6c2,False
afadcabd609c7b455a3b2c1334559804,2019-04-26 10:23:00,5d1f0ab4ccba51e2a9296828c74f8b8d,5a76187b07d5520c87cec376,False
e2155d3a525bb7d716f450e8bf9b906a,2019-04-26 18:23:16,822037b46b16200b949fb8df36ec8ce9,5c518d0fd831434e1ab9a97e,False
34bbe34a16e67bd6dcbe666a7b16ea9c,2019-04-26 20:47:38,cbc708c284d09f162e8a0600ea7553a9,5924633eb2df470c17aa7154,False
afadcabd609c7b455a3b2c1334559804,2019-04-27 14:14:04,6ed9c1ddf9af385d6bd9867cd8408d45,570e831e91dece044a2308f9,False
88b21ffce5dfedcdd2153174c926a023,2019-04-27 17:42:28,65bcf76ce065d3492d98477cee287e38,598e087b434a570c832c2994,False
