condo_id,resident_disc_comments
fee1d0bda60c7b50060828f69584caa1,0
71d375dac27ff239b531c8c120d80725,3
4bc8c74b2b885c8848138146a83da78b,0
e2155d3a525bb7d716f450e8bf9b906a,7
3e00766e05feb88aa3de3876b6d6e620,0
3ff19c00fb0de207aea1242d4b3d4cec,9
ebcaaf2aa2c1108fbe0032da368a6ef3,24
93d2692f8a2ffdc951957d564c585b89,74
7cb6d79b897a5483724962f7fb8c404a,0
8a39ac7b46399aac1d2df9900043ebb1,32
5ccd57dda029777e842e7d9bb44ec09c,1
8434a219accdeed13cc5b27c75f3d359,8
d0ac4fc24f8515dc21b984d716cc804a,0
fdf92b505f689d87b22cede57b547c60,0
11d62d3b1245d2cec06154e2a5d9a28c,14
29b1ab59ad3c600fe1c1e1b2c1e280b2,3824
98b18f90767c1740e7473fd5dfac5889,0
35f99e407a2d3050710e10a79087f644,55
d25755452d6735f1b59246ce2ebdde1f,0
d31b6b617b158d08cf8ebac8806f2425,19
5480bb01f72bc35c2b3784a3903c6765,60
d8cdd16920529c13d7a5753bdda6df0f,0
c5104d313d55de86db848a34c8966939,0
0d467468c1f5396431052ec65da6e0fc,0
751271fe2e4cc389ec3e520b26e271f1,38
4531479d3620b972e065744afbf71008,0
2a4a70eff994442a7a2a535ead947efd,479
eeb0b9848fccfbb692f96c67248b8b8c,43
71db9270b095c66bbcb144dc3f270ab3,11
651a1efe4fbbbee830bc01b5539f724b,249
f108fa4bbeac47375b02a1d77a86bded,0
2f26b71823e7afff3f24e65aef36155f,0
c12e209c43492438b1cc809da2c28b99,0
907c3055abe7ab6543f85a60ab1d6f5d,33
3a3e22b7162693e31a93656b2b053141,321
9fb7ccac4996b8d8d84291fbd9304d4e,0
b280234afd076f9ac506fe5c5856dddd,0
0532cb1ce885e88c759d0bd81ed1ee1f,34
13a1bab69d1b5e8972d4573166e16da7,1146
918765aa5eb0192bf0d6acd49fac0f73,9
69e9119bc7fd0af285f13b962b001c3b,5
ec6d6437789042a8bcebebd0cefcda5b,2317
e27382bab6f53fefda46e6d77c3b9a1d,32
97fc441b703a52cc6da8ecd8deefc968,136
f9d9287190d84ae6828d675dd7274506,663
afadcabd609c7b455a3b2c1334559804,72
5d98ca0c168530c7203112baad374287,0
2534a583147cbd297bd6032632295ed7,0
88b21ffce5dfedcdd2153174c926a023,4277
b13ae41b79573d821bb779c108abc2e6,41
ca77cae2abed6abb30dcc578a93f5d07,1
6edc6429153c6ce87c6319dc929f0adc,16
f7a3819707dac65f05306cbb141f949e,35
2a8dcceb4ef5796fb6a4d94a73873ef4,249
ced85db729b264ef84939cd8a9a32ffb,336
5a60b3f8a87c70eb1e0ef6c4f8648018,34
15889a7b3952186e36c36943fbe0ff9e,0
f74bfdb21be03bb4d52a36a7275fb5b5,28
d30ff6388978d591a8b25be230954e9c,1
4794a0c960d490f336846b4475341db8,0
34bbe34a16e67bd6dcbe666a7b16ea9c,0
0eeed7c66261c418ab629f1d2501283b,0
860173ec3479cc1e45fb5a7cd307b0c7,1
063036138dbf1b9d754ed9095eca5f82,19
2ef329b83eb210c0046832ca56c060da,0
155e458bcd3d7298ab51c9e5719186fc,0
ee57e2e31b5fcb20d50a93e1d669aafe,14
4edd506d8aa8bebcf364fd99f192d926,1
681d22d072f5e04c84a57cd7d075e083,0
4638a407851537f5e67d54d7c3f944cc,0
7abe5938d2af4308f888363226ef4efa,0
5c4c15d753d4ef79355e0af667972642,0
286f241b1340b39a9a770b9a222fa7ba,0
2616391acee164c96bbda678b8c531ed,1
4adb7c1ea3b7f9c92be2f5e2e9094fed,16
