condo_id,creation_date,deleted
ca77cae2abed6abb30dcc578a93f5d07,2019-04-09 12:05:30,False
751271fe2e4cc389ec3e520b26e271f1,2019-04-09 13:43:20,False
8434a219accdeed13cc5b27c75f3d359,2019-04-09 21:35:41,False
ec6d6437789042a8bcebebd0cefcda5b,2019-04-10 12:40:52,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-10 19:01:42,False
34bbe34a16e67bd6dcbe666a7b16ea9c,2019-04-11 03:59:24,False
ec6d6437789042a8bcebebd0cefcda5b,2019-04-11 11:56:07,False
13a1bab69d1b5e8972d4573166e16da7,2019-04-11 13:19:51,False
681d22d072f5e04c84a57cd7d075e083,2019-04-11 17:28:52,False
11d62d3b1245d2cec06154e2a5d9a28c,2019-04-11 19:34:20,False
0eeed7c66261c418ab629f1d2501283b,2019-04-11 20:46:53,False
ec6d6437789042a8bcebebd0cefcda5b,2019-04-12 19:55:13,False
ec6d6437789042a8bcebebd0cefcda5b,2019-04-12 20:28:09,False
5ccd57dda029777e842e7d9bb44ec09c,2019-04-12 21:02:37,False
2f26b71823e7afff3f24e65aef36155f,2019-04-13 00:26:41,False
0532cb1ce885e88c759d0bd81ed1ee1f,2019-04-13 12:22:48,False
e2155d3a525bb7d716f450e8bf9b906a,2019-04-13 20:53:10,False
2534a583147cbd297bd6032632295ed7,2019-04-14 01:05:57,False
fdf92b505f689d87b22cede57b547c60,2019-04-14 22:16:11,False
6edc6429153c6ce87c6319dc929f0adc,2019-04-15 13:05:47,False
88b21ffce5dfedcdd2153174c926a023,2019-04-15 13:33:15,False
35f99e407a2d3050710e10a79087f644,2019-04-15 14:08:23,True
e2155d3a525bb7d716f450e8bf9b906a,2019-04-15 16:46:35,False
f108fa4bbeac47375b02a1d77a86bded,2019-04-16 12:28:09,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-16 12:52:42,False
d30ff6388978d591a8b25be230954e9c,2019-04-16 20:06:18,False
ec6d6437789042a8bcebebd0cefcda5b,2019-04-17 15:49:13,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-17 17:33:35,False
35f99e407a2d3050710e10a79087f644,2019-04-18 12:34:52,False
afadcabd609c7b455a3b2c1334559804,2019-04-18 12:46:12,False
3e00766e05feb88aa3de3876b6d6e620,2019-04-18 14:23:09,False
ca77cae2abed6abb30dcc578a93f5d07,2019-04-18 14:42:20,False
ca77cae2abed6abb30dcc578a93f5d07,2019-04-18 19:43:48,False
88b21ffce5dfedcdd2153174c926a023,2019-04-18 20:46:55,False
8434a219accdeed13cc5b27c75f3d359,2019-04-19 02:50:17,False
681d22d072f5e04c84a57cd7d075e083,2019-04-19 16:03:26,False
e2155d3a525bb7d716f450e8bf9b906a,2019-04-20 18:48:58,False
ebcaaf2aa2c1108fbe0032da368a6ef3,2019-04-21 17:17:11,False
d30ff6388978d591a8b25be230954e9c,2019-04-22 11:56:17,False
6edc6429153c6ce87c6319dc929f0adc,2019-04-22 14:05:12,False
ec6d6437789042a8bcebebd0cefcda5b,2019-04-22 17:21:36,False
11d62d3b1245d2cec06154e2a5d9a28c,2019-04-22 19:38:08,False
97fc441b703a52cc6da8ecd8deefc968,2019-04-22 19:40:31,False
860173ec3479cc1e45fb5a7cd307b0c7,2019-04-22 20:05:59,False
88b21ffce5dfedcdd2153174c926a023,2019-04-22 21:51:22,False
