condo_id,creation_date,creator,deleted
5480bb01f72bc35c2b3784a3903c6765,2019-04-09 02:36:27,31f870b6ce2588c8b9cea793a969667f,False
afadcabd609c7b455a3b2c1334559804,2019-04-09 03:03:34,1199fafb05a9a3cf3f8febaf340b09c0,False
71db9270b095c66bbcb144dc3f270ab3,2019-04-09 14:37:09,a62dd25e592a54bb949a5ed1d083bb84,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-09 18:47:08,59bfe9374f1f00624661e7a530c7653c,False
11d62d3b1245d2cec06154e2a5d9a28c,2019-04-09 20:31:16,fbb0b384b677817435c3d3a3edd5ddfc,False
ec6d6437789042a8bcebebd0cefcda5b,2019-04-09 22:29:14,f9493826ec69c870a6121268720b6fa4,False
b13ae41b79573d821bb779c108abc2e6,2019-04-09 23:02:33,25d42660bb528be4a449f72078509e86,False
918765aa5eb0192bf0d6acd49fac0f73,2019-04-09 23:41:58,9876f5ed75db0d981fd2c78053ab4fe6,False
3e00766e05feb88aa3de3876b6d6e620,2019-04-10 00:38:32,d44baa7b57d423240e69702ed6ccfb9f,False
063036138dbf1b9d754ed9095eca5f82,2019-04-10 06:50:08,1159774f2ccfe6320ac632306012a421,False
751271fe2e4cc389ec3e520b26e271f1,2019-04-10 08:02:08,40c559a76cb069c282c1a50881506cdf,False
5480bb01f72bc35c2b3784a3903c6765,2019-04-10 10:37:10,e5042db8517754a3dc8efa92605a9db4,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-10 11:35:14,cd1dae83903ff84bddf16ab187a762e1,False
ec6d6437789042a8bcebebd0cefcda5b,2019-04-10 13:37:03,ee1302192aa372571282158d411e96ed,False
b13ae41b79573d821bb779c108abc2e6,2019-04-10 16:01:28,e9577084cc1b298d80b295e44c0d0857,False
69e9119bc7fd0af285f13b962b001c3b,2019-04-10 17:00:20,36de483cbc4dcf4fbc73b2a28e313552,False
b13ae41b79573d821bb779c108abc2e6,2019-04-10 18:32:47,2b47dcf698c155455664d1db53af88be,False
88b21ffce5dfedcdd2153174c926a023,2019-04-10 20:39:36,ca6c860c4e216caf95ffadba3dc7422b,False
ec6d6437789042a8bcebebd0cefcda5b,2019-04-10 21:20:26,a5292be7a18ef4f1b0fb12c57aa1f14e,False
5480bb01f72bc35c2b3784a3903c6765,2019-04-10 21:35:57,147ced29c5ba490981eabbcd13aee807,False
907c3055abe7ab6543f85a60ab1d6f5d,2019-04-10 22:09:53,79e62db4ddb1ac7658fab084c8940e71,False
0532cb1ce885e88c759d0bd81ed1ee1f,2019-04-10 22:55:34,277fb0dcaa3160b3a899fdd748db34e9,False
